Camera.ID,Cropland,Animal.Structures,Built.and.Roads,Firing.Zones,Minefields,Nature.Reserves,Open.Spaces,Orchards,Wolf.Culling.Last.1.Year,Wolf.Culling.10.Years..Dist..Exp..Decay.,Proximity.to.Water,Polygon.Name,Polygon.Type,High.Shooting.Polygons,Low.Shooting.Polygons,Minefield_Polygons,Nature.Reserve.Polygons,Null.Wolf.Abundance,Wolf_10/SE,Predicted.Wolf.Abundance,lower.wolf.abundance,upper.wolf.abundance,Jackal.Culling,Boar.Culling.Focal.Corrected,null.jackal.abundance,Jackal_10/SE,null.boar.abundance,Boar_10/SE,Cattle.Abundance,gazelleabundance,Gazelle_10/SE,human.abundance,Wolf.pack.abundance
1,0.01219,0.156222,0.228261,0.593602,0.209732,0.080203,0.972995,0.035564,0.340817617,0.506226957,0.213669,Keshet Yonatan,High Shooting,0.681171,0.452637,0.102678,0.00104,0.597647687,0.555555556,0.345693759,0.345558423,0.345829148,1,0.247058766,0.652651425,0.27027027,0.539859152,0.243902439,0.475563249,0.529078397,0.344827586,0.447382204,0.555499238
2,0.026231,0.162366,0.227221,0.26516,0.437525,0.06389,0.908424,0.105086,0.339729231,0.46824646,0.297789,Keshet Yonatan,High Shooting,0.785542,0.128624,0.239991,0.000338,0.537899756,0.588235294,0.343744684,0.349270712,0.338306087,1,0.506625506,0.501417045,0.277777778,0.539827382,0.227272727,0.377004841,0.31731643,0.256410256,0.390693886,0.44996563
3,0.042521,0.149136,0.228534,0.220675,0.460759,0.046403,0.879045,0.166431,0.357865013,0.381597787,0.239218,Keshet Yonatan,High Shooting,0.778272,0.047416,0.245097,0.003063,0.287560905,1,0.341721012,0.349227874,0.334375515,1,0.725509945,0.501909272,0.555555556,0.321102998,0.37037037,0.592946204,0.406795589,0.277777778,0.183115166,0.17314512
4,0.031207,0.202162,0.249176,0.350524,0.319283,0.055123,0.932206,0.108191,0.542815702,0.52429688,0.315996,Keshet Yonatan,High Shooting,0.878479,0.121502,0.148174,0.007335,0.329408432,0.769230769,0.33297533,0.334596474,0.33136204,1,0.549991523,0.444128567,0.277777778,0.357421384,0.27027027,0.382846942,0.422154562,0.344827586,0.401722898,0.002717743
5,0.069885,0.139859,0.182929,0.414404,0.391023,0.050586,0.910811,0.074074,0.148565307,0.20516108,0.096501,Keshet Yonatan,High Shooting,0.482199,0,0.171414,0.087278,0.437445095,0.833333333,0.343619177,0.344067453,0.343171485,1,0.701830299,0.741655553,0.434782609,0.24443397,0.3125,0.387742407,0.353372503,0.285714286,0.878387746,0.085330426
6,0.053373,0,0.407687,0.08575,0.101523,0.777449,0.909244,0.08285,0.3387679,0.272252053,0.403377,Yehudiya,Nature Reserve,0,0,0,0.347004,0.766703936,0.714285714,0.49518421,0.502030399,0.488431383,0.857033593,0.122856406,0.239654427,0.454545455,0.549693652,0.3125,0.361371812,0.588608992,0.303030303,0.325951939,0.927938418
7,0.021421,0.016961,0.294738,0.510072,0.007185,0.924779,0.94518,0.088724,0.03840893,0.236512393,0.907895,Yehudiya,Nature Reserve,0,0,0,0.947142,0.853559427,0.666666667,0.564443752,0.539829941,0.590179842,0.480113822,0.123839737,0.402114635,0.3125,0.601803196,0.27027027,0.235874828,1,0.37037037,0.446267242,0.962612353
8,0.012552,0.02887,0.231461,0.825286,0.004857,0.732024,0.972764,0.04497,0.293902559,0.192525178,0.602747,Yehudiya,Nature Reserve,0.005283,0,0,0.97946,0.873243809,0.714285714,0.489649993,0.491809232,0.487500234,0.297577595,0.037699153,0.210947817,0.476190476,0.440544776,0.277777778,0.827468693,0.416865745,0.357142857,0.48709211,1
9,0.007216,0.037411,0.228209,0.829116,0.000762,0.576626,0.98832,0.004511,0.217087653,0.366143644,0.368131,Yehudiya,Nature Reserve,0.075862,0.053995,0,0.642669,0.534640386,0.769230769,0.4669587,0.467990981,0.465928695,0.345706032,0.390890961,0.468411808,0.384615385,0.41972745,0.27027027,0.310956644,0.667862878,0.333333333,0.26208267,0.936359597
10,0.049797,0.083871,0.20603,0.833288,0.040788,0.379218,0.971824,0.012316,0.679650982,0.254087657,0.311394,Yehudiya,Nature Reserve,0.094342,0,0,0.638579,0.848745047,0.625,0.362854262,0.362713072,0.362995506,0.305118843,0.14244316,0.251881173,0.476190476,0.43757345,0.243902439,0.354015092,0.517767483,0.294117647,0.096756924,0.922819128
