X1,X2,X3,X4,X5,X6,X7
NA,6,16,25,5,3,0
NA,27,3,NA,NA,NA,NA
15,8,2,8,2,3,31
NA,NA,0,0,9,2,3
2,0,1,0,0,0,0
12,17,8,3,48,59,NA
14,9,23,3,42,29,NA
4,8,4,3,17,20,NA
7,5,8,8,6,4,NA
3,3,1,2,3,1,NA
10,1,0,1,8,7,NA
NA,3,1,5,3,16,NA
0,0,0,2,1,0,NA
0,0,0,0,0,0,NA
9,48,54,14,15,10,NA
0,1,1,4,NA,NA,NA
0,1,1,0,9,1,NA
1,9,0,0,2,0,NA
3,1,0,NA,0,1,NA
1,1,0,3,0,1,NA
4,14,13,3,1,2,NA
0,NA,5,5,6,6,NA
0,5,7,11,29,46,NA
2,14,57,67,191,157,NA
28,5,15,21,41,25,NA
0,0,4,0,0,0,0
0,6,12,12,6,4,0
NA,31,23,15,31,19,17
36,35,12,10,1,18,1
NA,1,1,2,5,7,3
23,25,30,13,8,0,NA
4,42,82,45,10,21,NA
30,28,31,18,52,35,NA
1,8,10,35,46,61,NA
3,4,17,9,12,8,NA
44,41,26,26,17,22,NA
29,25,31,10,19,8,NA
9,17,30,34,28,17,NA
53,37,46,18,44,37,NA
2,18,11,29,25,12,NA
1,7,5,19,33,39,NA
9,17,28,19,5,2,NA
5,3,6,5,3,3,NA
13,2,8,2,12,19,NA
2,2,NA,12,7,13,NA
NA,9,15,0,NA,NA,NA
0,1,0,4,4,2,NA
4,3,3,2,4,0,NA
0,1,2,2,1,0,NA
0,1,0,0,0,0,NA
NA,NA,0,0,0,0,NA
10,0,0,1,0,0,NA
13,3,3,0,2,0,NA
0,2,1,0,NA,NA,NA
3,0,0,0,0,0,NA
19,17,24,NA,34,34,NA
12,8,4,8,5,6,NA
1,2,4,3,9,0,NA
4,4,2,3,53,64,NA
NA,NA,19,22,1,0,NA
